Name,Brand,SKU,MPN,base_price,MSRP,Image
Used Blodgett DFG-100 Double Stack Full Size Convection Oven | Stock No. 1013505,Blodgett,USED-1013505,DFG-100 DBL,,,"https://www.burkett.com/media/catalog/product/u/s/used-1013505-1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1000&width=1000&canvas=1000:1000&dpr=1 1x"
Used Blodgett DFG-100 Double Stack Full Size Convection Oven | Stock No. 1013505,Blodgett,USED-1013505,DFG-100 DBL,,,"https://www.burkett.com/media/catalog/product/u/s/used-1013505-1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1000&width=1000&canvas=1000:1000&dpr=1 1x"
"Blodgett 1415 DOUBLE 20"" Electric Double Deck Pizza Oven | 208/220V",Blodgett,BLOD-1415 DOUBLE,1415 DOUBLE,,,"https://www.burkett.com/media/catalog/product/b/l/blodgett_1415_double-2-min.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1000&width=1000&canvas=1000:1000&dpr=1 1x"
"Blodgett 1415 SINGLE 20"" Electric Single Deck Pizza Oven | 208/220/240V",Blodgett,BLOD-1415 SINGLE,1415 SINGLE,,,"https://www.burkett.com/media/catalog/product/b/l/blodgett_1415_single-1-min.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1000&width=1000&canvas=1000:1000&dpr=1 1x"
Blodgett BC-20E 14-Pan Full Size Electric Roll-In Combi Oven | 208/240v,Blodgett,BLOC-BC-20E-VML,BC-20E,,,"https://www.burkett.com/media/catalog/product/b/l/blodgett-bc-20e-14-pan-electric-combi-oven-steamer.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1000&width=1000&canvas=1000:1000&dpr=1 1x"
"Blodgett BC-20G 14-Pan Full Size Gas Roll-In Combi Oven | 215,000 BTU",Blodgett,BLOC-BC-20G-VML,BC-20G,,,"https://www.burkett.com/media/catalog/product/b/l/blodgett-bc-20g-combi-oven.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1000&width=1000&canvas=1000:1000&dpr=1 1x"
Blodgett BCX-14E DBL 28-Pan Full Size Double Electric Combi Oven | 208/240v,Blodgett,BLOC-BCX-14E DBL-VML,BCX-14E DBL,,,"https://www.burkett.com/media/catalog/product/b/l/blobcx-14edoubla_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1000&width=1000&canvas=1000:1000&dpr=1 1x"
Blodgett BCX-14E SGL 14-Pan Full Size Single Electric Combi Oven | 208/240v,Blodgett,BLOC-BCX-14E SGL-VML,BCX-14E SGL,,,"https://www.burkett.com/media/catalog/product/b/l/blobcx-14esingla_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1000&width=1000&canvas=1000:1000&dpr=1 1x"
"Blodgett BCX-14G DBL 28-Pan Full Size Gas Combi Oven | 230,000 BTU",Blodgett,BLOC-BCX-14G DBL-VML,BCX-14G DBL,,,"https://www.burkett.com/media/catalog/product/b/l/blobcx-14gdoubla_1.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1000&width=1000&canvas=1000:1000&dpr=1 1x"
"Blodgett BCX-14G SGL 14-Pan Full Size Electric Combi Oven | 115,000 BTU",Blodgett,BLOC-BCX-14G SGL-VML,BCX-14G SGL,,,"https://www.burkett.com/media/catalog/product/b/l/blodgett_bcx-14g_sgl.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1000&width=1000&canvas=1000:1000&dpr=1 1x"
Blodgett BLCT-10E 6-Pan Mini Electric Boilerless Combi Oven | 208/240v,Blodgett,BLOD-BLCT-10E,BLCT-10E,,,"https://www.burkett.com/media/catalog/product/b/l/blodgett_blct-10e.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=1000&width=1000&canvas=1000:1000&dpr=1 1x"
,,,B-10K,,34.30,
,,,B-10K,,34.30,
,,,B-0044-H,,131.00,
,,,B-0230-K,,72.80,
,,,B-0230-K,,72.80,
,,,B-0674-RGH,,247.00,
,,,B-0674-RGH,,247.00,
,,,B-1110-LN,,178.00,
,,,B-1110-LN,,178.00,
,,,B-10K,,34.30,
